{'time': 1618354509983, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510005, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510013, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510017, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510028, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510039, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510064, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510068, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510084, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510094, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510125, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510183, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510196, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510210, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510218, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510247, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510260, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510277, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510287, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510298, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510315, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510330, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510343, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510355, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510365, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510376, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510391, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510396, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354510409, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510420, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510432, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510446, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510455, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510489, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510502, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510511, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510519, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510531, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510544, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510555, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510569, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510579, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510592, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510609, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510623, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510643, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510647, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510654, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510667, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510679, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510688, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354510723, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510747, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510756, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510771, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510778, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510793, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510804, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510819, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354510981, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511184, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511193, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511205, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511223, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511245, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511252, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511259, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511858, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511891, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511971, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511982, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354511994, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512004, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512017, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512025, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512038, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512049, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512062, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512076, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512083, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512095, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512130, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512149, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512160, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512172, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512176, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512189, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512199, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512209, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512221, 'event': 'Mouse over geomap', 'target': 'Bernalillo'}
{'time': 1618354512364, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512402, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512419, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
